no,date,sehar_h,sehar_m,aftar_h,aftar_m
1,2020-04-25,04,08,18,53
2,2020-04-26,04,07,18,53
3,2020-04-27,04,06,18,54
4,2020-04-28,04,05,18,54
5,2020-04-29,04,04,18,54
6,2020-04-30,04,03,18,55
7,2020-05-01,04,03,18,56
8,2020-05-02,04,02,18,56
9,2020-05-03,04,01,18,57
10,2020-05-04,04,00,18,57
11,2020-05-05,03,59,18,58
12,2020-05-06,03,58,18,58
13,2020-05-07,03,56,18,59
14,2020-05-08,03,55,18,59
15,2020-05-09,03,54,19,00
16,2020-05-10,03,53,19,01
17,2020-05-11,03,52,19,02
18,2020-05-12,03,51,19,03
19,2020-05-13,03,50,19,04
20,2020-05-14,03,49,19,04
21,2020-05-15,03,48,19,05
22,2020-05-16,03,47,19,06
23,2020-05-17,03,47,19,06
24,2020-05-18,03,46,19,07
25,2020-05-19,03,45,19,08
26,2020-05-20,03,45,19,08
27,2020-05-21,03,44,19,08
28,2020-05-22,03,43,19,09
29,2020-05-23,03,42,19,09
30,2020-05-24,03,42,19,09